TopicID,Keywords,Weights
0,"flight, airlin, passeng, travel, new, india, attend, cancel, seat, man","0.052, 0.044, 0.022, 0.022, 0.012, 0.011, 0.011, 0.01, 0.009, 0.007"
1,"airlin, travel, new, aviat, air, airport, review, pilot, market, secur","0.04, 0.026, 0.023, 0.02, 0.017, 0.013, 0.01, 0.009, 0.007, 0.005"
2,"airport, airlin, flight, plane, land, pilot, emerg, american, new, intern","0.051, 0.033, 0.029, 0.023, 0.022, 0.015, 0.013, 0.011, 0.009, 0.008"
3,"flight, airlin, http, spot, feet, southwest, unit, delta, di, ual","0.105, 0.082, 0.042, 0.035, 0.033, 0.029, 0.027, 0.019, 0.011, 0.011"
4,"flight, airport, plane, airlin, delai, reveal, travel, bird, hour, close","0.041, 0.031, 0.029, 0.019, 0.013, 0.011, 0.01, 0.008, 0.007, 0.006"
